FIPS,Area Name,Qualifying Name,State Abbreviation,State FIPS,Area (Land),Area (Water),Total Population,Population Density (Per Sq. Mile),Area Total:,Area Total: Area (Land),Area Total: Area (Water),Total Population: Male,Total Population: Female,Total Population: Under 5 Years,Total Population: 5 to 9 Years,Total Population: 10 to 14 Years,Total Population: 15 to 17 Years,Total Population: 18 to 24 Years,Total Population: 25 to 34 Years,Total Population: 35 to 44 Years,Total Population: 45 to 54 Years,Total Population: 55 to 64 Years,Total Population: 65 to 74 Years,Total Population: 75 to 84 Years,Total Population: 85 Years and Over,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Households:,Households: Family Households,Households: Family Households: Married-Couple Family,Households: Family Households: Other Family,"Households: Family Households: Other Family: Male Householder, No Wife Present","Households: Family Households: Other Family: Female Householder, No Husband Present",Households: Nonfamily Households,Households: Nonfamily Households: Male Householder,Households: Nonfamily Households: Female Householder,Occupied Housing Units,Occupied Housing Units: 1-Person Household,Occupied Housing Units: 2-Person Household,Occupied Housing Units: 3-Person Household,Occupied Housing Units: 4-Person Household,Occupied Housing Units: 5-Person Household,Occupied Housing Units: 6-Person Household,Occupied Housing Units: 7-or-More Person Household,Population 25 Years and Over:,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Graduate (Includes Equivalency),Population 25 Years and Over: Some College,Population 25 Years and Over: Bachelor's Degree,Population 25 Years and Over: Master's Degree,Population 25 Years and Over: Professional School Degree,Population 25 Years and Over: Doctorate Degree,Population 3 Years and Over:,Population 3 Years and Over: Enrolled in School,Population 3 Years and Over: Not Enrolled in School,Civilian Population 16 to 19 Years:,"Civilian Population 16 to 19 Years: Not High School Graduate, Not Enrolled (Dropped Out)","Civilian Population 16 to 19 Years: High School Graduate, or Enrolled (In School)",In Labor Force 16 Years and Over:,In Labor Force 16 Years and Over: in Armed Forces,In Labor Force 16 Years and Over: Civilian,Civilian Population in Labor Force 16 Years and Over:,Civilian Population in Labor Force 16 Years and Over: Employed,Civilian Population in Labor Force 16 Years and Over: Unemployed,"Households: Less than $10,000","Households: $10,000 to $14,999","Households: $15,000 to $19,999","Households: $20,000 to $24,999","Households: $25,000 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $44,999","Households: $45,000 to $49,999","Households: $50,000 to $59,999","Households: $60,000 to $74,999","Households: $75,000 to $99,999","Households: $100,000 to $124,999","Households: $125,000 to $149,999","Households: $150,000 to $199,999","Households: $200,000 or More",Median Household Income (In current year Inflation Adjusted Dollars),Per Capita Income (In current year Inflation Adjusted Dollars),Gini Index,Population for Whom Poverty Status Is Determined:,Population for Whom Poverty Status Is Determined: Under .50,Population for Whom Poverty Status Is Determined: .50 to .74,Population for Whom Poverty Status Is Determined: .75 to .99,Population for Whom Poverty Status Is Determined: 1.00 to 1.49,Population for Whom Poverty Status Is Determined: 1.50 to 1.99,Population for Whom Poverty Status Is Determined: 2.00 and Over,Total:,Total: No Health Insurance Coverage,Total: with Health Insurance Coverage,Total: with Health Insurance Coverage: Public Health Coverage,Total: with Health Insurance Coverage: Private Health Insurance
01001,Autauga County,"Autauga County, Alabama",al,01,1539634184,25674812,55639,93.59648,604.3692,594.4561,9.913101,27052,28587,3235,3725,3645,2538,4636,7078,7304,7816,7172,4951,2577,962,42150,10866,155,649,24,374,1421,21559,15103,11281,3822,880,2942,6456,2786,3670,21559,5665,7348,3813,2486,1638,480,129,37860,4273,11880,10986,6320,3399,504,498,53819,13003,40816,3042,113,2929,26025,709,25316,25316,24580,736,1331,982,1528,1134,1114,726,903,1062,765,1442,2218,2893,2248,1288,1027,898,57982,29804,0.4552,55181,3504,2924,1966,4217,4888,37682,54553,4345,50208,18892,38510
01003,Baldwin County,"Baldwin County, Alabama",al,01,4117656199,1132956041,218289,137.3028,2027.273,1589.836,437.4368,105889,112400,11960,11559,15171,8303,15733,24387,26411,28570,31479,26926,13661,4129,186504,19153,1514,2033,10,3398,5677,84047,56092,46277,9815,2522,7293,27955,12337,15618,84047,24412,32866,11321,8831,4252,1737,628,155563,14823,42272,48832,31444,13331,2845,2016,211667,46076,165591,10258,431,9827,103116,321,102795,102795,98768,4027,4352,4011,2930,3506,3935,4450,3789,4314,3655,6148,7970,11536,7621,5375,4893,5562,61756,33751,0.4566,215170,7250,5989,6500,16674,20714,158043,215669,20501,195168,77886,151821
01005,Barbour County,"Barbour County, Alabama",al,01,2292160149,50523213,25026,28.27771,904.5152,885.0081,19.50712,13156,11870,1332,1550,1429,911,2007,3643,3047,3125,3205,2856,1438,483,11587,11929,88,122,1,777,522,9322,6083,3613,2470,581,1889,3239,1287,1952,9322,3056,2923,1516,1229,418,123,57,17797,4497,6361,4872,1296,540,118,113,24223,5332,18891,1078,37,1041,9356,0,9356,9356,8707,649,1365,706,972,742,362,515,469,413,279,699,824,680,635,214,206,241,34990,20074,0.5047,22070,3018,1688,1606,2653,2187,10918,22116,2362,19754,11461,11701
01007,Bibb County,"Bibb County, Alabama",al,01,1612188717,9572303,22374,35.94393,626.1655,622.4695,3.695887,12022,10352,1253,1186,1198,947,1803,3248,3085,3135,2843,2169,1179,328,17138,5045,12,56,0,9,114,7259,5276,3597,1679,490,1189,1983,1071,912,7259,1882,2642,903,1111,435,141,145,15987,3056,7206,3911,1183,481,109,41,21622,4192,17430,1147,78,1069,8970,0,8970,8970,8303,667,799,512,382,382,377,283,217,322,277,628,778,1129,600,212,204,157,51721,22626,0.45,20748,1875,744,1136,1975,2640,12378,20748,1878,18870,8788,12767
01009,Blount County,"Blount County, Alabama",al,01,1670259090,14860281,57755,89.55782,650.6282,644.8907,5.737587,28677,29078,3505,3486,4077,2304,4569,6879,7060,7630,7863,6019,3106,1257,54271,808,55,236,55,1037,1293,21205,15035,12053,2982,804,2178,6170,3046,3124,21205,5486,7143,3249,3374,1299,375,279,39814,6838,13975,13725,3540,1382,222,132,55971,12167,43804,3071,122,2949,24133,44,24089,24089,22836,1253,2145,968,885,1437,937,1445,961,1122,987,1794,1996,2283,1540,1091,1034,580,48922,25457,0.4685,57127,3834,2047,1966,5777,6418,37085,57274,5746,51528,19980,38226
01011,Bullock County,"Bullock County, Alabama",al,01,1613083467,6030667,10173,16.3339,625.1435,622.8151,2.328454,5578,4595,594,583,729,373,1110,1086,1193,1465,1402,1014,456,168,2663,6980,0,137,0,318,75,3429,2158,1187,971,222,749,1271,535,736,3429,1215,877,641,408,216,22,50,6784,1700,2809,1578,413,152,104,28,9927,2388,7539,881,63,818,4146,0,4146,4146,4007,139,625,336,138,271,190,174,80,111,84,441,155,258,388,38,45,95,33866,20783,0.4985,9713,1074,773,1018,1263,926,4659,9791,1025,8766,4811,4863
01013,Butler County,"Butler County, Alabama",al,01,2012002546,2701199,19726,25.39266,777.8815,776.8386,1.042939,9050,10676,1161,1174,1301,765,1505,2301,2486,2166,2775,2445,1176,471,10183,8795,66,261,0,98,323,6649,4574,3297,1277,172,1105,2075,652,1423,6649,1923,2267,1222,766,345,115,11,13820,1886,6425,3304,1396,651,139,19,19059,3909,15150,865,128,737,8522,0,8522,8522,7971,551,525,519,488,364,432,244,369,396,340,424,622,622,565,343,222,174,44850,23415,0.4667,19411,1194,1249,1353,2337,2017,11261,19450,1973,17477,8146,12697
01015,Calhoun County,"Calhoun County, Alabama",al,01,1569246127,16536293,114324,188.6879,612.274,605.8893,6.384699,54925,59399,6662,6779,6938,4390,10588,15075,13654,14206,15787,12107,6204,1934,83801,24190,358,925,327,1871,2852,44572,29120,20680,8440,1991,6449,15452,6910,8542,44572,12906,15272,6932,5955,2536,725,246,78967,11787,27203,25087,8296,4618,1093,883,110619,27122,83497,6350,294,6056,52189,515,51674,51674,47905,3769,3546,2702,2391,2459,2740,2505,2245,1888,1741,4182,4362,5445,3857,1879,1480,1150,50128,26238,0.4581,111229,7486,4683,5387,12767,11873,69033,112733,11260,101473,45733,75609
01017,Chambers County,"Chambers County, Alabama",al,01,1545085601,16971700,33427,56.03284,603.1137,596.5609,6.55281,15928,17499,1984,1769,2022,1171,2710,4222,3706,4493,4820,3981,1960,589,19015,13372,81,368,9,264,318,13582,9121,5961,3160,965,2195,4461,2079,2382,13582,3738,5264,1960,1420,782,335,83,23771,4140,8829,7369,2491,740,173,29,32196,6728,25468,1374,100,1274,15272,0,15272,15272,14724,548,819,885,1101,792,1107,1000,693,529,514,1256,1222,1834,814,582,220,214,43875,24088,0.4182,32875,1628,1357,2077,4215,4892,18706,33021,3045,29976,13671,20659
01019,Cherokee County,"Cherokee County, Alabama",al,01,1433620850,120310807,26035,47.03498,599.9764,553.5241,46.45226,12875,13160,1128,1317,1584,974,1889,2555,2870,3643,4106,3555,1836,578,23970,1250,150,26,0,212,427,10836,7385,6096,1289,412,877,3451,1865,1586,10836,2984,4216,1549,1374,535,81,97,19143,3288,7495,5884,1202,743,399,132,25199,5061,20138,1213,56,1157,10754,0,10754,10754,10310,444,707,561,1010,527,880,731,729,538,253,896,1101,1145,817,209,375,357,42509,26231,0.4596,25680,973,1076,1273,3340,3136,15882,25768,2458,23310,10893,17016
