"","FIPS","year","Freq"
"18",45001,2005,2
"19",45001,2006,3
"20",45001,2008,2
"21",45001,2009,3
"22",45001,2010,1
"23",45001,2011,1
"24",45001,2012,4
"25",45001,2013,1
"26",45001,2014,6
"27",45001,2015,1
"28",45001,2016,2
"29",45001,2018,2
"30",45001,2020,4
"52",45003,2005,19
"53",45003,2006,20
"54",45003,2007,19
"55",45003,2008,11
"56",45003,2009,20
"57",45003,2010,12
"58",45003,2011,15
"59",45003,2012,25
"60",45003,2013,18
"61",45003,2014,20
"62",45003,2015,22
"63",45003,2016,20
"64",45003,2017,19
"65",45003,2018,24
"66",45003,2019,19
"67",45003,2020,22
"86",45005,2005,3
"87",45005,2006,5
"88",45005,2007,5
"89",45005,2008,1
"90",45005,2009,5
"91",45005,2010,1
"92",45005,2011,2
"93",45005,2012,3
"94",45005,2014,3
"95",45005,2015,1
"96",45005,2016,3
"97",45005,2018,4
"98",45005,2019,2
"99",45005,2020,1
"120",45007,2005,15
"121",45007,2006,16
"122",45007,2007,14
"123",45007,2008,18
"124",45007,2009,18
"125",45007,2010,14
"126",45007,2011,8
"127",45007,2012,15
"128",45007,2013,19
"129",45007,2014,21
"130",45007,2015,12
"131",45007,2016,17
"132",45007,2017,16
"133",45007,2018,14
"134",45007,2019,24
"135",45007,2020,17
"156",45009,2005,7
"157",45009,2006,8
"158",45009,2007,7
"159",45009,2008,6
"160",45009,2009,1
"161",45009,2010,2
"162",45009,2011,5
"163",45009,2012,2
"164",45009,2013,5
"165",45009,2014,8
"166",45009,2015,6
"167",45009,2016,7
"168",45009,2017,2
"169",45009,2019,2
"170",45009,2020,2
"190",45011,2005,4
"191",45011,2006,12
"192",45011,2007,5
"193",45011,2008,6
"194",45011,2009,6
"195",45011,2010,5
"196",45011,2011,4
"197",45011,2013,4
"198",45011,2014,9
"199",45011,2015,2
"200",45011,2016,5
"201",45011,2017,4
"202",45011,2018,2
"203",45011,2019,2
"204",45011,2020,4
"225",45013,2005,28
"226",45013,2006,24
"227",45013,2007,25
"228",45013,2008,25
"229",45013,2009,17
"230",45013,2010,21
"231",45013,2011,25
"232",45013,2012,11
"233",45013,2013,16
"234",45013,2014,14
"235",45013,2015,22
"236",45013,2016,21
"237",45013,2017,10
"238",45013,2018,15
"239",45013,2019,22
"240",45013,2020,18
"263",45015,2005,17
"264",45015,2006,18
"265",45015,2007,17
"266",45015,2008,21
"267",45015,2009,23
"268",45015,2010,26
"269",45015,2011,15
"270",45015,2012,19
"271",45015,2013,20
"272",45015,2014,21
"273",45015,2015,28
"274",45015,2016,22
"275",45015,2017,20
"276",45015,2018,38
"277",45015,2019,23
"278",45015,2020,14
"296",45017,2005,5
"297",45017,2006,3
"298",45017,2007,1
"299",45017,2008,2
"300",45017,2009,3
"301",45017,2010,3
"302",45017,2011,3
"303",45017,2013,2
"304",45017,2014,5
"305",45017,2015,3
"306",45017,2016,2
"307",45017,2018,1
"308",45017,2019,2
"309",45017,2020,3
"333",45019,2005,67
"334",45019,2006,64
"335",45019,2007,69
"336",45019,2008,81
"337",45019,2009,81
"338",45019,2010,88
"339",45019,2011,97
"340",45019,2012,77
"341",45019,2013,83
"342",45019,2014,105
"343",45019,2015,91
"344",45019,2016,72
"345",45019,2017,86
"346",45019,2018,80
"347",45019,2019,70
"348",45019,2020,68
"369",45021,2005,4
"370",45021,2006,3
"371",45021,2007,4
"372",45021,2008,5
"373",45021,2009,11
"374",45021,2010,7
"375",45021,2011,3
"376",45021,2012,6
"377",45021,2013,5
"378",45021,2014,2
"379",45021,2015,4
"380",45021,2016,5
"381",45021,2017,3
"382",45021,2018,8
"383",45021,2019,6
"384",45021,2020,2
"404",45023,2005,5
"405",45023,2006,3
"406",45023,2007,6
"407",45023,2008,4
"408",45023,2009,7
"409",45023,2010,5
"410",45023,2011,1
"411",45023,2012,4
"412",45023,2013,2
"413",45023,2014,3
"414",45023,2015,6
"415",45023,2016,9
"416",45023,2017,5
"417",45023,2018,4
"418",45023,2019,5
"419",45023,2020,4
"438",45025,2005,4
"439",45025,2006,6
"440",45025,2007,6
"441",45025,2008,6
"442",45025,2009,2
"443",45025,2010,4
"444",45025,2011,6
"445",45025,2012,6
"446",45025,2013,6
"447",45025,2014,4
"448",45025,2015,5
"449",45025,2016,6
"450",45025,2017,3
"451",45025,2018,4
"452",45025,2019,4
"453",45025,2020,6
"474",45027,2005,8
"475",45027,2006,8
"476",45027,2007,4
"477",45027,2008,8
"478",45027,2009,5
"479",45027,2010,5
"480",45027,2011,9
"481",45027,2012,7
"482",45027,2013,12
"483",45027,2014,7
"484",45027,2015,9
"485",45027,2016,3
"486",45027,2017,6
"487",45027,2018,4
"488",45027,2019,8
"489",45027,2020,8
"510",45029,2005,6
"511",45029,2006,2
"512",45029,2007,8
"513",45029,2008,6
"514",45029,2009,9
"515",45029,2010,5
"516",45029,2011,6
"517",45029,2012,3
"518",45029,2013,5
"519",45029,2014,5
"520",45029,2015,7
"521",45029,2016,10
"522",45029,2017,4
"523",45029,2018,7
"524",45029,2019,5
"525",45029,2020,7
"547",45031,2005,11
"548",45031,2006,8
"549",45031,2007,17
"550",45031,2008,12
"551",45031,2009,11
"552",45031,2010,14
"553",45031,2011,22
"554",45031,2012,18
"555",45031,2013,13
"556",45031,2014,9
"557",45031,2015,15
"558",45031,2016,6
"559",45031,2017,15
"560",45031,2018,16
"561",45031,2019,11
"562",45031,2020,10
"582",45033,2005,11
"583",45033,2006,11
"584",45033,2007,9
"585",45033,2008,4
"586",45033,2009,6
"587",45033,2010,6
"588",45033,2011,3
"589",45033,2012,6
"590",45033,2013,5
"591",45033,2014,4
"592",45033,2015,5
"593",45033,2016,7
"594",45033,2017,6
"595",45033,2018,4
"596",45033,2019,13
"597",45033,2020,12
"618",45035,2005,12
"619",45035,2006,19
"620",45035,2007,21
"621",45035,2008,11
"622",45035,2009,21
"623",45035,2010,11
"624",45035,2011,14
"625",45035,2012,14
"626",45035,2013,17
"627",45035,2014,10
"628",45035,2015,8
"629",45035,2016,24
"630",45035,2017,19
"631",45035,2018,22
"632",45035,2019,20
"633",45035,2020,21
"654",45037,2005,4
"655",45037,2006,3
"656",45037,2007,3
"657",45037,2008,4
"658",45037,2010,4
"659",45037,2011,4
"660",45037,2012,2
"661",45037,2013,5
"662",45037,2014,2
"663",45037,2015,5
"664",45037,2016,8
"665",45037,2017,2
"666",45037,2018,3
"667",45037,2019,6
"668",45037,2020,2
"687",45039,2005,7
"688",45039,2006,4
"689",45039,2007,2
"690",45039,2008,2
"691",45039,2009,5
"692",45039,2010,9
"693",45039,2011,6
"694",45039,2012,7
"695",45039,2013,4
"696",45039,2014,6
"697",45039,2015,5
"698",45039,2016,6
"699",45039,2017,4
"700",45039,2018,5
"701",45039,2019,2
"702",45039,2020,2
"724",45041,2005,45
"725",45041,2006,38
"726",45041,2007,43
"727",45041,2008,31
"728",45041,2009,43
"729",45041,2010,34
"730",45041,2011,38
"731",45041,2012,22
"732",45041,2013,24
"733",45041,2014,24
"734",45041,2015,27
"735",45041,2016,38
"736",45041,2017,36
"737",45041,2018,28
"738",45041,2019,34
"739",45041,2020,27
"760",45043,2005,9
"761",45043,2006,14
"762",45043,2007,15
"763",45043,2008,3
"764",45043,2009,10
"765",45043,2010,12
"766",45043,2011,9
"767",45043,2012,7
"768",45043,2013,8
"769",45043,2014,6
"770",45043,2015,7
"771",45043,2016,10
"772",45043,2017,8
"773",45043,2018,6
"774",45043,2019,6
"775",45043,2020,5
"797",45045,2005,69
"798",45045,2006,55
"799",45045,2007,55
"800",45045,2008,51
"801",45045,2009,63
"802",45045,2010,55
"803",45045,2011,57
"804",45045,2012,52
"805",45045,2013,67
"806",45045,2014,73
"807",45045,2015,61
"808",45045,2016,68
"809",45045,2017,60
"810",45045,2018,63
"811",45045,2019,66
"812",45045,2020,76
"833",45047,2005,17
"834",45047,2006,15
"835",45047,2007,10
"836",45047,2008,7
"837",45047,2009,5
"838",45047,2010,4
"839",45047,2011,7
"840",45047,2012,9
"841",45047,2013,8
"842",45047,2014,14
"843",45047,2015,10
"844",45047,2016,11
"845",45047,2017,6
"846",45047,2018,4
"847",45047,2019,14
"848",45047,2020,12
"867",45049,2005,6
"868",45049,2006,7
"869",45049,2007,3
"870",45049,2008,6
"871",45049,2009,3
"872",45049,2010,3
"873",45049,2011,5
"874",45049,2012,4
"875",45049,2013,3
"876",45049,2014,5
"877",45049,2015,9
"878",45049,2016,6
"879",45049,2017,5
"880",45049,2018,3
"881",45049,2019,5
"882",45049,2020,2
"905",45051,2005,54
"906",45051,2006,49
"907",45051,2007,46
"908",45051,2008,43
"909",45051,2009,34
"910",45051,2010,27
"911",45051,2011,31
"912",45051,2012,33
"913",45051,2013,37
"914",45051,2014,32
"915",45051,2015,40
"916",45051,2016,55
"917",45051,2017,75
"918",45051,2018,63
"919",45051,2019,52
"920",45051,2020,58
"940",45053,2005,7
"941",45053,2006,7
"942",45053,2007,6
"943",45053,2008,4
"944",45053,2009,2
"945",45053,2010,2
"946",45053,2011,2
"947",45053,2012,3
"948",45053,2013,6
"949",45053,2014,1
"950",45053,2015,5
"951",45053,2016,1
"952",45053,2017,9
"953",45053,2018,4
"954",45053,2019,4
"955",45053,2020,3
"976",45055,2005,6
"977",45055,2006,14
"978",45055,2007,7
"979",45055,2008,4
"980",45055,2009,4
"981",45055,2010,6
"982",45055,2011,7
"983",45055,2012,10
"984",45055,2013,8
"985",45055,2014,10
"986",45055,2015,9
"987",45055,2016,6
"988",45055,2017,10
"989",45055,2018,4
"990",45055,2019,6
"991",45055,2020,13
"1011",45057,2005,7
"1012",45057,2006,13
"1013",45057,2007,11
"1014",45057,2008,4
"1015",45057,2009,7
"1016",45057,2010,9
"1017",45057,2011,7
"1018",45057,2012,3
"1019",45057,2013,7
"1020",45057,2014,7
"1021",45057,2015,5
"1022",45057,2016,8
"1023",45057,2017,6
"1024",45057,2018,6
"1025",45057,2019,10
"1026",45057,2020,12
"1047",45059,2005,9
"1048",45059,2006,7
"1049",45059,2007,7
"1050",45059,2008,7
"1051",45059,2009,5
"1052",45059,2010,3
"1053",45059,2011,9
"1054",45059,2012,6
"1055",45059,2013,9
"1056",45059,2014,10
"1057",45059,2015,6
"1058",45059,2016,10
"1059",45059,2017,9
"1060",45059,2018,5
"1061",45059,2019,11
"1062",45059,2020,6
"1081",45061,2005,5
"1082",45061,2006,5
"1083",45061,2007,9
"1084",45061,2008,8
"1085",45061,2009,2
"1086",45061,2010,12
"1087",45061,2011,6
"1088",45061,2012,12
"1089",45061,2013,4
"1090",45061,2014,3
"1091",45061,2015,7
"1092",45061,2016,6
"1093",45061,2017,4
"1094",45061,2018,2
"1095",45061,2019,1
"1096",45061,2020,3
"1118",45063,2005,37
"1119",45063,2006,33
"1120",45063,2007,42
"1121",45063,2008,37
"1122",45063,2009,30
"1123",45063,2010,37
"1124",45063,2011,37
"1125",45063,2012,25
"1126",45063,2013,33
"1127",45063,2014,36
"1128",45063,2015,28
"1129",45063,2016,36
"1130",45063,2017,49
"1131",45063,2018,33
"1132",45063,2019,29
"1133",45063,2020,37
"1155",45065,2005,9
"1156",45065,2006,5
"1157",45065,2007,8
"1158",45065,2008,8
"1159",45065,2009,10
"1160",45065,2010,7
"1161",45065,2011,10
"1162",45065,2012,3
"1163",45065,2013,1
"1164",45065,2014,2
"1165",45065,2015,1
"1166",45065,2016,5
"1167",45065,2017,6
"1168",45065,2018,7
"1169",45065,2019,7
"1170",45065,2020,4
"1190",45067,2005,5
"1191",45067,2006,5
"1192",45067,2007,5
"1193",45067,2008,1
"1194",45067,2009,5
"1195",45067,2010,5
"1196",45067,2011,7
"1197",45067,2012,7
"1198",45067,2013,3
"1199",45067,2014,2
"1200",45067,2015,5
"1201",45067,2016,7
